Date,Time,RecordID,Status,Latitude,Longitude,Wind,Pressure,WindNE34,WindSE34,WindSW34,WindNW34,WindNE50,WindSE50,WindSW50,WindNW50,WindNE64,WindSE64,WindSW64,WindNW64,MaxWindRadius
2010-06-27,1800,"",TS,18.9,-90.7,35,993,30,30,30,30,0,0,0,0,0,0,0,0,
2010-06-28,0000,"",TS,19.2,-91.1,40,991,60,30,30,60,0,0,0,0,0,0,0,0,
2010-07-23,1430,L,TS,25.4,-80.2,35,1007,75,40,0,40,0,0,0,0,0,0,0,0,
2010-07-23,1800,"",TD,25.8,-81.1,30,1008,0,0,0,0,0,0,0,0,0,0,0,0,
2010-07-25,0600,"",LO,29.2,-89.5,25,1012,0,0,0,0,0,0,0,0,0,0,0,0,
2010-07-25,1200,"",LO,29.8,-90.5,20,1012,0,0,0,0,0,0,0,0,0,0,0,0,
2010-07-25,1800,"",LO,30.1,-91,15,1014,0,0,0,0,0,0,0,0,0,0,0,0,
2010-08-12,1200,"",LO,29.7,-89,25,1008,0,0,0,0,0,0,0,0,0,0,0,0,
2010-08-12,1800,"",LO,29.8,-89,25,1008,0,0,0,0,0,0,0,0,0,0,0,0,
2010-08-13,0000,"",LO,30,-88.9,25,1007,0,0,0,0,0,0,0,0,0,0,0,0,
2010-08-13,0600,"",LO,30.4,-88.8,25,1007,0,0,0,0,0,0,0,0,0,0,0,0,
2010-08-13,1200,"",LO,30.8,-88.6,25,1008,0,0,0,0,0,0,0,0,0,0,0,0,
2010-08-17,0600,"",LO,30,-88.6,25,1008,0,0,0,0,0,0,0,0,0,0,0,0,
2010-08-17,1200,"",LO,30.7,-89.4,25,1008,0,0,0,0,0,0,0,0,0,0,0,0,
2010-09-05,0600,"",LO,19,-95.6,20,1006,0,0,0,0,0,0,0,0,0,0,0,0,
2010-09-05,1200,"",LO,19.5,-95.6,20,1006,0,0,0,0,0,0,0,0,0,0,0,0,
2010-09-07,1200,"",TS,27.7,-98.1,45,991,90,90,0,0,0,0,0,0,0,0,0,0,
2010-09-09,1800,"",LO,37,-95.5,20,1005,0,0,0,0,0,0,0,0,0,0,0,0,
2010-09-10,0000,"",LO,37.5,-95,20,1005,0,0,0,0,0,0,0,0,0,0,0,0,
